Category,OrderDate,DueDate,ShipDate,OrderQuantity,UnitPrice,SalesAmount,TaxAmt,Order Month
Bikes,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,1120.49,1120.49,89.6392,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,34.99,34.99,2.7992,3/1/2013
Bikes,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,2319.99,2319.99,185.5992,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,9.99,9.99,0.7992,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,4.99,4.99,0.3992,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,34.99,34.99,2.7992,3/1/2013
Clothing,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,49.99,49.99,3.9992,3/1/2013
Clothing,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,8.99,8.99,0.7192,3/1/2013
Bikes,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,2319.99,2319.99,185.5992,3/1/2013
Bikes,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,2443.35,2443.35,195.468,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,8.99,8.99,0.7192,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,4.99,4.99,0.3992,3/1/2013
Clothing,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,53.99,53.99,4.3192,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,120,120,9.6,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,24.99,24.99,1.9992,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,2.29,2.29,0.1832,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,29.99,29.99,2.3992,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,2.29,2.29,0.1832,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,21.98,21.98,1.7584,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,54.99,54.99,4.3992000000000004,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,21.98,21.98,1.7584,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,34.99,34.99,2.7992,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,35,35,2.8,3/1/2013
Accessories,2013-03-01T05:00:00Z,2013-03-13T04:00:00Z,2013-03-08T05:00:00Z,1,4.99,4.99,0.3992,3/1/2013
