GEOID,County,State,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M
72047,Corozal Municipio,Puerto Rico,28500,1075,2097,663,0,29,0,29,0,29,2916,733,1420,635
72095,Maunabo Municipio,Puerto Rico,3795,711,7042,751,10,17,0,21,0,21,317,146,133,125
72111,Peñuelas Municipio,Puerto Rico,16967,711,755,259,29,29,35,44,0,25,3643,673,232,118
72113,Ponce Municipio,Puerto Rico,117164,1961,7493,938,211,119,148,128,0,32,9801,1296,14046,1443
72131,San Sebastián Municipio,Puerto Rico,28075,1095,996,361,0,29,97,89,0,29,9202,1018,600,306
72135,Toa Alta Municipio,Puerto Rico,57375,1682,5412,848,291,259,296,375,6,13,4181,807,6608,1253
72137,Toa Baja Municipio,Puerto Rico,47902,1865,7712,877,116,102,9,14,7,10,8509,1119,17650,1593
72147,Vieques Municipio,Puerto Rico,4812,879,812,442,12,21,162,176,0,19,3028,855,105,138
72151,Yabucoa Municipio,Puerto Rico,14950,1268,17751,1373,89,85,11,17,0,29,1928,607,296,160
72003,Aguada Municipio,Puerto Rico,26408,1405,1092,405,0,29,0,29,0,29,1590,544,10380,1212
72025,Caguas Municipio,Puerto Rico,102063,2012,11049,1244,320,232,457,271,0,32,16667,1524,3713,843
72029,Canóvanas Municipio,Puerto Rico,23494,1136,5446,779,0,29,116,100,0,29,17444,1116,279,204
72041,Cidra Municipio,Puerto Rico,34510,773,3068,567,117,79,72,88,0,29,2855,566,559,291
72043,Coamo Municipio,Puerto Rico,26183,1153,8496,1049,0,29,0,29,0,29,4888,760,229,215
72051,Dorado Municipio,Puerto Rico,29639,1052,4833,872,0,29,47,57,0,29,1085,484,2118,511
72089,Luquillo Municipio,Puerto Rico,11385,805,1705,368,24,26,61,64,0,21,5422,751,355,180
72019,Barranquitas Municipio,Puerto Rico,25681,923,1264,489,0,25,0,25,0,25,1285,455,1007,518
72107,Orocovis Municipio,Puerto Rico,18754,593,598,331,0,25,0,25,0,25,2193,415,361,225
72129,San Lorenzo Municipio,Puerto Rico,33650,715,2642,520,43,66,22,35,0,29,571,257,1761,570
72011,Añasco Municipio,Puerto Rico,17202,1163,845,372,0,25,0,25,1,2,7122,1190,2722,655
72037,Ceiba Municipio,Puerto Rico,7689,683,1135,329,9,14,54,47,0,21,3182,659,169,133
72039,Ciales Municipio,Puerto Rico,16644,335,145,102,0,21,0,21,0,21,224,219,312,241
72045,Comerío Municipio,Puerto Rico,15882,720,1633,482,65,69,18,30,0,21,1960,575,356,198
72071,Isabela Municipio,Puerto Rico,30785,1133,2155,571,98,114,0,29,0,29,9702,1148,574,336
72073,Jayuya Municipio,Puerto Rico,12907,764,116,101,47,81,4,9,0,21,1776,690,447,336
72081,Lares Municipio,Puerto Rico,19426,832,154,119,12,19,0,25,0,25,7430,813,299,247
72085,Las Piedras Municipio,Puerto Rico,18889,1545,18256,1662,0,29,0,29,0,29,756,369,352,198
72119,Río Grande Municipio,Puerto Rico,27326,1457,6878,959,57,67,166,90,0,32,16112,1293,1229,457
72127,San Juan Municipio,Puerto Rico,248912,3015,44717,2020,1544,392,1428,426,32,37,40259,1946,18289,1540
72143,Vega Alta Municipio,Puerto Rico,30550,1077,4090,840,34,40,103,73,0,29,2421,603,1391,578
72145,Vega Baja Municipio,Puerto Rico,48319,1021,2431,595,83,100,20,31,27,39,3231,691,643,253
72093,Maricao Municipio,Puerto Rico,3009,425,160,132,22,35,0,19,0,19,2816,458,173,150
72009,Aibonito Municipio,Puerto Rico,19292,625,2000,450,13,21,52,61,0,25,2454,541,197,138
72059,Guayanilla Municipio,Puerto Rico,15842,632,416,178,128,148,61,47,0,21,2723,539,408,199
72077,Juncos Municipio,Puerto Rico,22814,1183,1850,557,25,35,83,129,0,29,14633,1201,299,283
72079,Lajas Municipio,Puerto Rico,11455,1124,240,164,43,51,0,25,0,25,11761,1100,394,354
72121,Sabana Grande Municipio,Puerto Rico,17384,870,704,236,0,25,0,25,0,25,5105,892,417,181
72001,Adjuntas Municipio,Puerto Rico,14396,594,120,87,17,20,0,21,0,21,3857,575,135,153
72027,Camuy Municipio,Puerto Rico,26089,925,652,268,34,42,0,29,0,29,5902,910,259,123
72055,Guánica Municipio,Puerto Rico,12204,675,472,184,19,23,0,21,0,21,4180,607,452,277
72067,Hormigueros Municipio,Puerto Rico,6122,704,486,195,0,21,43,70,0,21,9554,751,269,136
72091,Manatí Municipio,Puerto Rico,34736,877,1574,411,41,45,14,22,0,29,4014,799,326,153
72103,Naguabo Municipio,Puerto Rico,17040,1320,1104,519,0,25,121,91,0,25,8209,1294,110,122
72105,Naranjito Municipio,Puerto Rico,24364,930,1691,542,11,18,0,25,0,25,1341,396,1705,770
72125,San Germán Municipio,Puerto Rico,21930,1118,772,306,32,36,0,29,0,29,10018,1115,185,144
72141,Utuado Municipio,Puerto Rico,21865,861,619,243,50,55,294,179,0,29,6660,778,721,334
72013,Arecibo Municipio,Puerto Rico,76382,1293,3858,556,341,209,715,268,0,32,6785,945,1469,501
72015,Arroyo Municipio,Puerto Rico,10730,966,3983,814,0,21,0,21,0,21,3550,792,241,142
72033,Cataño Municipio,Puerto Rico,16298,613,2598,399,16,24,110,115,0,25,4898,588,1675,391
72054,Florida Municipio,Puerto Rico,11056,485,229,254,0,21,26,44,0,21,790,416,39,49
72065,Hatillo Municipio,Puerto Rico,40074,384,258,122,0,29,16,25,0,29,310,266,320,252
72069,Humacao Municipio,Puerto Rico,31444,1678,8483,1115,79,55,409,231,0,32,13563,1597,758,421
72075,Juana Díaz Municipio,Puerto Rico,21952,1535,4180,733,38,37,107,112,0,29,5030,744,16645,1577
72101,Morovis Municipio,Puerto Rico,29782,544,420,259,39,62,29,44,0,29,1349,453,166,136
72097,Mayagüez Municipio,Puerto Rico,29400,1829,3226,609,222,217,34,30,1,10,44849,2042,1883,552
72133,Santa Isabel Municipio,Puerto Rico,12539,891,6295,893,25,41,0,25,0,25,3455,745,161,134
72139,Trujillo Alto Municipio,Puerto Rico,56303,1452,6281,1082,85,58,0,32,11,17,4560,837,2238,508
72115,Quebradillas Municipio,Puerto Rico,19559,860,1187,548,66,63,27,41,0,25,3550,668,159,149
72057,Guayama Municipio,Puerto Rico,31543,1261,5593,973,0,29,95,88,0,29,4827,931,565,319
72099,Moca Municipio,Puerto Rico,27169,1191,1232,444,97,153,60,66,0,29,7789,1197,1329,504
72049,Culebra Municipio,Puerto Rico,743,172,74,44,5,8,15,21,0,14,624,200,33,38
72063,Gurabo Municipio,Puerto Rico,30910,1560,6114,1048,43,66,69,80,0,29,8791,1164,1147,554
72123,Salinas Municipio,Puerto Rico,16612,1015,7888,969,64,76,129,131,0,25,4096,738,450,291
72017,Barceloneta Municipio,Puerto Rico,21755,768,720,443,0,25,90,83,0,25,1714,643,304,317
72087,Loíza Municipio,Puerto Rico,6424,591,10042,763,38,49,73,75,0,25,10390,834,275,178
72153,Yauco Municipio,Puerto Rico,30476,852,1299,438,164,147,5,8,0,29,5100,689,541,245
