id,business_blank,business_categories,business_city,business_full_address,business_id,business_latitude,business_longitude,business_name,business_neighborhoods,business_open,business_review_count,business_stars,business_state,business_type,cool,date,funny,review_id,reviewer_average_stars,reviewer_blank,reviewer_cool,reviewer_funny,reviewer_name,reviewer_review_count,reviewer_type,reviewer_useful,stars,text,type,useful,user_id
208854,FALSE,Restaurants; Italian,Scottsdale,"6339 E Greenway Rd
Ste 108
Scottsdale, AZ 85254",gHKB66up5VluCWT4vuSZpw,33.624662,-111.943525,Tutti Santi By Nina,NA,TRUE,76,4,AZ,business,0,40109,0,eYMNhO6aH2s6oheViaLGwg,0,TRUE,0,0,NA,0,user,0,5,"As a geezer who never claims Omg. 

OMFG.

This places makes you wish you had Pavarotti's lungs and a full cello suite. 

Great food, great service. Order the Veal Francese or the Veal Marsala, with the inky Super Tuscan; Modus 2006 Ruffino.

The Tiramisu was superlative.

This is the ONLY place in Arizona I would put on par with my favorite comfort-preset phenomena: Flemings.

Do try it.

As for the 'strip-mall' woes below me; note that you're not on the pavement, yeah? Once you're in, you're in. 2 stars is bogus Scrapbooking-PMS whining. Get with the program, lass.",review,0,bkYKrAbREHReX5bFVYET6A
224744,FALSE,Bars; American (New); Nightlife; Lounges; Restaurants,Phoenix,"5455 E High St
Ste 101
Phoenix, AZ 85054",ttLtsY1S2Angj6hvEdzwDQ,33.6753306,-111.9633729,Blue Martini,NA,TRUE,107,3.5,AZ,business,0,41071,0,96GZmI9T-_AG4MfAO8dnKQ,3.7,FALSE,0,0,Lance,10,user,3,4,"Had a great time with my beautiful wife listening to The Instant Classics. Drinks are pricey and menu seems a little limited, but I had a great time. Looking forward sharing Blue Martini and TIC with friends.",review,0,p5jXjPeG-lh8lOwFioboZg
141259,FALSE,American (New); Restaurants,Phoenix,"2 E Jefferson St
Phoenix, AZ 85004",kr3EFhoSwbJPrL_e_RD39g,33.4471735,-112.073781,Blue Hound Kitchen & Cocktails,NA,TRUE,80,3.5,AZ,business,0,41256,1,CXp_3u1UIRqxQKhZq21Qlg,3.58,FALSE,7,10,Kevin,105,user,41,1,"Awful service and marginal food at best. Way over cooked.

That said, it's a lovely setting with immense, but unfulfilled, potential.

The outdoor patio and tater tots were the highlight of a marginal experience.",review,0,sM_5WWwzsKomERthYdmd7w
141061,FALSE,Bars; American (New); Nightlife; Restaurants,Phoenix,"816 N 3rd St
Phoenix, AZ 85004",7cP7WFmWiTVh-raIL3N_Vw,33.4571599,-112.0699779,The Roosevelt,NA,FALSE,224,4,AZ,business,7,40199,9,bjzqc1hy_yLcAhPzq8lxfg,4.14,FALSE,66,103,Collin,7,user,68,3,"Ok look, I understand that anything can become a cult classic when a few people known to be ""cool"" deem it ""magical"".  Picture somebody you really like and want to be your friend saying these things in a really annoying dramatic tone; ""Oh my god, I have to have it right now!"".  ""This is the best thing on the planet!!""  ""Dude, you're insane if you don't love this.""  I bet you can guess what I'm referring to by now, it is indeed the infamous Grilled Cheese and Tomato soup ""snack"" bonered over by pretty much everybody I've ever met in CenPho.  Now I'll be honest, I've only been to the Roosevelt twice, and actually had a good time both times, but I had to give it 3 stars for a couple little nit-picky things, as well as the fact that I'm anti-bandwagon when it comes to sports, and food.  

Really?!  I had better tomato soup on Continental Airlines for christ's sake.  I am not a big soup eater, but I've always appreciated tomato soup for its dip-ability, and simplicity.  I dont need a full salad of basil in the soup, and honestly I found it kinda watery.  Again, maybe its just because of the people who its got bent over telling me how bomb it is, but all I could think was ""meh"".  

I can also cook a better grilled cheese with the bread from Tent City (don't worry about why I know what the Tent City bread is like) on a linoleum countertop with a clothes iron, while getting robbed, attacked by a wild boar (which I would subdue with the iron), and nagged by the super annoying chick that I mistakenly dated for a couple weeks last year.  I'm not a foodie, so I don't remember specifically what kind of bread and cheeses were used, but I do remember waaaay to much of said bread, and not nearly enough cheese, for 8 bucks.  8 bucks?!  Send me to Safeway, fuck that, Food City with 8 bucks and I'll make you a grilled cheese and tomato soup that will leave you begging for a cigarette.  

But I digress.  Actually, overall, I like the Roosevelt.  The high top tables were rickety as shit and the little candle on the table served more as a way for me to burn myself testing my manhood by holding my hand over it than a light source.  The place itself is cute, and I've always liked places that have a homey feel.  Our waitress was wonderful, and even gave us some in depth info on where they get some of their ingredients.  I have one more gripe, and it's that I was apparently an asshole for asking for a bourbon, and not knowing before I stepped inside that they only serve beer and wine.  The bartender looked at me like I was a moron (which she has every right to do b/c she's dead on) and told me to rethink my selection of Wild Turkey on the rocks.  I love Oak Creek, so I was pleased to see that they carried it, but I think they probably lose the business of some people looking for a cocktail.

So, I'm more than confident that you will enjoy the Roosevelt, but if somebody tells you that you'll never have a better grilled cheese in your life, go in with the mentality that they're just making sure that the chick/dude they're lusting after thinks they have good taste.  You'll never get her anyway broseph.",review,6,vXnfpkOK2djHNVsUxpSioQ
46715,FALSE,Restaurants; American (New); Karaoke; Nightlife,Scottsdale,"4013 N Brown Ave
Scottsdale, AZ 85251",z6vO1HR8L2iW4avr610XKw,33.494295,-111.924219,The Grapevine,NA,TRUE,89,3,AZ,business,8,40969,8,LfMxBynys4xubTSeSxlrCw,3.31,FALSE,870,930,Dave,146,user,947,5,"Always I have found a good time here! Downstairs they have 'Cowboy Karaoke' the local old timers singing old time hits... And you know what? It's always entertaining. I've met and had great conversations with the bar patrons. Been upstairs with the tiki torches going on cool evenings with the younger crowd too. Something for everyone at The Vine. One time really drunk I looked over an saw Elvis enjoying himself here as well. Well bourbon in a short glass with coke, nice price, very reasonable so I'll stay for another, and maybe get a bite to eat. Here you will find the real old west of scottsdale, that you've been looking for",review,8,x3be6uxIqd9Dypu-o9KsKg
159059,FALSE,Mexican; Restaurants,Tolleson,"9820 W Lower Buckeye Rd Ste 103
Tolleson, AZ 85353",4zkNU2m_LKPo2h790zfXAw,33.421215,-112.269912,Viva Mexican Grill,NA,TRUE,7,3,AZ,business,1,40581,0,y71LQZQtjDXnL_bv3ZACiQ,3.97,FALSE,116,50,Gina,77,user,173,3,"So, I returned and tried a lengua(beef tongue) mini taco. Once again, delicious, with melt-in-your-mouth tender cubes of meat, and the lovely contrast of raw onions and cabbage.

their tortilla chips? not that great...they were too hard, too greasy, although they did have a good amount of salt. I had them with their salsa...very spicy and smoky, but it was more of a bean salsa(not chunky, but a powerful flavor of beans...not my thing).",review,1,xdhu_CZVomaGPD2qB0IQXw
162791,FALSE,Piano Bars; Seafood; Steakhouses; Nightlife; Restaurants,Scottsdale,"15169 N Scottsdale Rd
Scottsdale, AZ 85254",WSHQ9qpL39g5xA3E5iBCmw,33.6239133,-111.9251335,Michael Dominick's Lincoln Avenue Prime Steakhouse,NA,TRUE,73,3.5,AZ,business,0,40869,0,5-f6IvON0xk-qEkwWLjMrw,2.5,FALSE,0,0,Bonnie,2,user,4,3,"Had my birthday dinner last Thursday.  Food was only fair but the service was very disappointing.  Empty bottles were left on the table, had to ask for water refills, waiter did not know this was a special occasion in spite of the information given in the reservation.  The waiter was not knowledgeable about the menu items (other than the steak), forgot the side dishes.  We had oysters and they were sandy.  The main courses looked as if they were just tossed onto the plates.  The ""Valli"" cheescake was made with so much whipped cream it was just too rich.
When compared with the Capitol Grille, they are really a distant second.",review,1,LZfWPkv9FnOHdnNLmp-0Nw
109685,FALSE,Food; Desserts; Ice Cream & Frozen Yogurt,Tempe,"514 S Mill Ave
Ste 102
Tempe, AZ 85281",AsSCv0q_BWqIe3mX2JqsOQ,33.42488026,-111.9401988,Cookiez On Mill,NA,FALSE,74,4,AZ,business,0,40183,0,nunjTwpEhXGefTybcFeabg,3.87,FALSE,58,27,Chelsea,62,user,86,4,"Hmm...try not to miss this on Mill or you will regret it. It was a delicious treat at the end of a night. The baked cookies with which you can stack one of a few very mouthwatering ice creams on top of, were awesome, and like I said just pick one of  the awesome ice creams to go with it. I did a half size and was way more than satisfied. Try mint chocolate chip ice cream on chocolate chocolate cookie- it was bliss. Also enjoy sitting outside and watch the foot traffic. Mill never disappoints with fascinating people watching.",review,0,3VIRjR2V29TOaI9u64hMig
179326,FALSE,Sushi Bars; American (New); Restaurants,Gilbert,"2224 E Williams Field Rd
Gilbert, AZ 85295",6qC2ATU4rVRRTKI-SScQOQ,33.306896,-111.752395,Kona Grill,NA,TRUE,66,3.5,AZ,business,0,41041,0,DrdxONy56RbyuC7_bFehTw,3.29,FALSE,1,1,Valery,7,user,4,5,"I really love this place!  They have really good sushi and the best Onion Soy salad dressing ever! The service could be better, I usually sit on the patio and there is one girl who is a waitress there who pretty much doesn't smile and is short when she comes to the table to wait on you but other then that I can't think of anything else that I would be able find as a con to this restaurant...I wont knock them a star due to this one girl...I love the place and they deserve the 5 star rating!",review,1,ISZXU3ZxqbCT0opbtMsb8w
54494,FALSE,Shopping; Office Equipment,Phoenix,"106 W Osborn Road
Phoenix, AZ 85013",0jPDeGGcCjX2BXj0DEuWIQ,33.4876227,-112.075086,Staples,NA,TRUE,6,2,AZ,business,0,41116,0,8hrexgGy3SxQJ1IUOp2JaA,4.11,FALSE,2,3,Mark,18,user,6,3,"Nothing great about this place. Sometimes they have too many employees following you around like a puppy, Sometimes they are short. Today they were just plain unpleasant. No thank you. No apology for their rewards system not working - just a ""you might want to call the number on the card."" On top of that, they have some ridiculous card you can buy for 10 dollars, but you get a coupon for 5 dollars, then you get 15% off. Hey guys, don't make it complicated  -just give us a reasonable price and stop stroking us it on ridculous reward systems. BTW Staples brand product sort of suck. So what I'm saying is... if you live in the area and need a pen, go for it. Just don't your hopes up for any more than that.",review,0,X1nTlg9in3_Ch8QR8Hx4lg
